nombre,gastos,cargo,region,territorio,partido,votos,ingresos,coalicion
ALEJANDRO NAVARRO BRAIN,171172856,PRESIDENTE,NACIONAL,NACIONAL,PARTIDO PAIS,0,171172856,Yo Marco por el Cambio
CAROLINA GOIC BOROEVIC,806906547,PRESIDENTE,NACIONAL,NACIONAL,PARTIDO DEMOCRATA CRISTIANO,0,806906547,Nueva Mayoría
BEATRIZ SANCHEZ MUNOZ,748201748,PRESIDENTE,NACIONAL,NACIONAL,INDEPENDIENTE,0,748201748,Frente Amplio
EDUARDO ANTONIO ARTES BRICHETTI,58404468,PRESIDENTE,NACIONAL,NACIONAL,UNION PATRIOTICA,0,58404468,Partido Unión Patriótica (sin coalición)
SEBASTIAN PINERA ECHENIQUE,4576976770,PRESIDENTE,NACIONAL,NACIONAL,INDEPENDIENTE,0,4576976770,Chile Vamos
ALEJANDRO GUILLIER ALVAREZ,1643624099,PRESIDENTE,NACIONAL,NACIONAL,INDEPENDIENTE,0,1643624099,Nueva Mayoría
JOSE ANTONIO KAST RIST,641812992,PRESIDENTE,NACIONAL,NACIONAL,INDEPENDIENTE,0,641812992,Independiente
MARCO ENRIQUEZ-OMINAMI GUMUCIO,402727572,PRESIDENTE,NACIONAL,NACIONAL,PARTIDO PROGRESISTA,0,402727572,Yo Marco por el Cambio
MIRTHA ARANCIBIA CRUZ,19797327,SENADOR,15,ARICA,RENOVACION NACIONAL,0,19797327,Chile Vamos
JOSE DURANA SEMIR,61924105,SENADOR,15,ARICA,UNION DEMOCRATA INDEPENDIENTE,0,61924105,Chile Vamos
CLAUDIO OJEDA MURILLO ,9472429,SENADOR,15,ARICA,PARTIDO HUMANISTA,0,9472429,Frente Amplio
RODRIGO DIAZ BOGDANIC,6158853,SENADOR,15,ARICA,PODER,0,6158853,Frente Amplio
VERONICA FOPPIANO DIAZ,27200000,SENADOR,15,ARICA,PARTIDO LIBERAL DE CHILE,0,27200000,Frente Amplio
SALVADOR PEDRO URRUTIA CARDENAS,41913706,SENADOR,15,ARICA,INDEPENDIENTE,0,41913706,Independiente
RODOLFO BARBOSA BARRIOS,38554584,SENADOR,15,ARICA,INDEPENDIENTE,0,38554584,Independiente
PABLO ANTONIO PIZARRO BOSSAY,3075029,SENADOR,15,ARICA,INDEPENDIENTE,0,3075029,Independiente
ENRIQUE LEE FLORES,21884782,SENADOR,15,ARICA,INDEPENDIENTE,0,21884782,Independiente
SANDRA CECILIA ZAPATA VELASQUEZ,2583653,SENADOR,15,ARICA,INDEPENDIENTE,0,2450000,Independiente
TRINIDAD VICTORIA PARRA CORREA,9393097,SENADOR,15,ARICA,INDEPENDIENTE,0,9393097,Independiente
JUAN CARLOS CARRENO CARMONA,40566796,SENADOR,1,IQUIQUE,RENOVACION NACIONAL,0,40564796,Chile Vamos
PAMELA BOYARDI VILLALOBOS,13875413,SENADOR,1,IQUIQUE,RENOVACION NACIONAL,0,13875413,Chile Vamos
LUZ EBENSPERGER ORREGO,95527388,SENADOR,1,IQUIQUE,UNION DEMOCRATA INDEPENDIENTE,0,95527388,Chile Vamos
JORGE SORIA QUIROGA,146956789,SENADOR,1,IQUIQUE,INDEPENDIENTE,0,146956789,Independiente
RIGOBERTO DEL CARMEN ROJAS SARAPURA,4610000,SENADOR,1,IQUIQUE,INDEPENDIENTE,0,4610000,Independiente
FRANITZA MITROVIC VARELA,24911484,SENADOR,1,IQUIQUE,INDEPENDIENTE,0,24911484,Independiente
ASTRID ABARCA IBARRA,6128670,SENADOR,1,IQUIQUE,INDEPENDIENTE,0,6128670,Independiente
FULVIO FABRIZIO ROSSI CIOCCA,54141387,SENADOR,1,IQUIQUE,INDEPENDIENTE,0,54105939,Independiente
RAFAEL PROHENS ESPINOSA ,75385707,SENADOR,3,COPIAPO,RENOVACION NACIONAL,0,75385707,Chile Vamos
FELIPE WARD EDWARDS,57961706,SENADOR,3,COPIAPO,UNION DEMOCRATA INDEPENDIENTE,0,57926248,Chile Vamos
CAROLINA PERALTA ARAVENA,6590000,SENADOR,3,COPIAPO,PARTIDO POR LA DEMOCRACIA,0,6590000,Nueva Mayoría
LAUTARO CARMONA SOTO,86134523,SENADOR,3,COPIAPO,PARTIDO COMUNISTA DE CHILE,0,86134523,Nueva Mayoría
JORGE VARGAS GUERRA,4249304,SENADOR,3,COPIAPO,FEDERACION REGIONALISTA VERDE SOCIAL,0,4249304,Yo Marco por el Cambio
YASNA PROVOSTE CAMPILLAY,98200350,SENADOR,3,VALLENAR,PARTIDO DEMOCRATA CRISTIANO,0,98200350,Nueva Mayoría
ALBERTO ROBLES PANTOJA,73565825,SENADOR,3,VALLENAR,PARTIDO RADICAL SOCIALDEMOCRATA,0,73565825,Nueva Mayoría
ELIZABETH PEREZ MATURANA,2304200,SENADOR,3,VALLENAR,FEDERACION REGIONALISTA VERDE SOCIAL,0,2304200,Yo Marco por el Cambio
ORIELE ANGELINA ZENCOVICH MADRID,3781028,SENADOR,5,VALPARAISO,PARTIDO DEMOCRATA CRISTIANO,0,3780800,Nueva Mayoría
ALDO CORNEJO GONZALEZ,161937042,SENADOR,5,VALPARAISO,PARTIDO DEMOCRATA CRISTIANO,0,161937042,Nueva Mayoría
RICARDO ANDRES LAGOS WEBER,182730503,SENADOR,5,VALPARAISO,PARTIDO POR LA DEMOCRACIA,0,182730503,Nueva Mayoría
MARIA ISABEL ALLENDE BUSSI,310007613,SENADOR,5,VALPARAISO,PARTIDO SOCIALISTA DE CHILE,0,310007613,Nueva Mayoría
ABEL GALLARDO PEREZ,25978362,SENADOR,5,VALPARAISO,PARTIDO SOCIALISTA DE CHILE,0,25942904,Nueva Mayoría
PEDRO SARIEGO PASTEN,5242109,SENADOR,5,VALPARAISO,AMPLITUD,0,5242109,Sumemos
VLADEMIR VENEGAS SANHUEZA,13505119,SENADOR,5,VALPARAISO,UNION PATRIOTICA,0,13505119,Partido Unión Patriótica (sin coalición)
FRANCISCO GABRIEL MARIN CASTRO,17468721,SENADOR,5,VALPARAISO,INDEPENDIENTE,0,17468721,Independiente
XIMENA RAMIREZ GUTIERREZ,2921616,SENADOR,5,VINA DEL MAR,UNION DEMOCRATA INDEPENDIENTE,0,2921616,Chile Vamos
FRANCISCO BARTOLUCCI JOHNSTON ,40997521,SENADOR,5,VINA DEL MAR,UNION DEMOCRATA INDEPENDIENTE,0,40997521,Chile Vamos
MARCO ANTONIO NUNEZ LOZANO,71809506,SENADOR,5,VINA DEL MAR,PARTIDO POR LA DEMOCRACIA,0,71809506,Nueva Mayoría
JOSEFINA BUSTAMANTE DIAZ,9176525,SENADOR,5,VINA DEL MAR,PARTIDO RADICAL SOCIALDEMOCRATA,0,9176515,Nueva Mayoría
MONICA VALENCIA BECERRA,42919337,SENADOR,5,VINA DEL MAR,PARTIDO IGUALDAD,0,42899000,Frente Amplio
LILY JOVANKA PEREZ SAN MARTIN,134106394,SENADOR,5,VINA DEL MAR,AMPLITUD,0,134106394,Sumemos
ALBERTO EDUARDO NUNEZ PONCE,3103458,SENADOR,5,VINA DEL MAR,AMPLITUD,0,3103458,Sumemos
