NOMBRE_DEL_CANDIDATO,MONTO
ALEJANDRO NAVARRO BRAIN,"20,000,000"
ALEJANDRO NAVARRO BRAIN,"6,000,000"
ALEJANDRO NAVARRO BRAIN,"20,000,000"
ALEJANDRO NAVARRO BRAIN,"6,000,000"
ALEJANDRO NAVARRO BRAIN,"10,000,000"
ALEJANDRO NAVARRO BRAIN,"3,600,000"
ALEJANDRO NAVARRO BRAIN,"2,200,000"
ALEJANDRO NAVARRO BRAIN,"1,000,000"
ALEJANDRO NAVARRO BRAIN,"7,000,000"
ALEJANDRO NAVARRO BRAIN,"2,000,000"
ALEJANDRO NAVARRO BRAIN,"3,800,000"
ALEJANDRO NAVARRO BRAIN,"2,000,000"
ALEJANDRO NAVARRO BRAIN,"2,000,000"
ALEJANDRO NAVARRO BRAIN,"2,000,000"
ALEJANDRO NAVARRO BRAIN,"2,000,000"
ALEJANDRO NAVARRO BRAIN,"1,800,000"
ALEJANDRO NAVARRO BRAIN,"357,000"
ALEJANDRO NAVARRO BRAIN,"22,895,600"
ALEJANDRO NAVARRO BRAIN,"10,704,795"
ALEJANDRO NAVARRO BRAIN,"9,001,824"
ALEJANDRO NAVARRO BRAIN,"9,612,537"
ALEJANDRO NAVARRO BRAIN,"4,141,200"
ALEJANDRO NAVARRO BRAIN,"11,733,400"
ALEJANDRO NAVARRO BRAIN,"3,000,000"
ALEJANDRO NAVARRO BRAIN,"180,000"
ALEJANDRO NAVARRO BRAIN,"180,000"
ALEJANDRO NAVARRO BRAIN,"180,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"60,000"
ALEJANDRO NAVARRO BRAIN,"180,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"66,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"115,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"30,000"
ALEJANDRO NAVARRO BRAIN,"30,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"60,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"33,000"
ALEJANDRO NAVARRO BRAIN,"33,000"
ALEJANDRO NAVARRO BRAIN,"33,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"9,000"
ALEJANDRO NAVARRO BRAIN,"9,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"10,500"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"30,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"63,000"
ALEJANDRO NAVARRO BRAIN,"63,000"
ALEJANDRO NAVARRO BRAIN,"63,000"
ALEJANDRO NAVARRO BRAIN,"63,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"93,000"
ALEJANDRO NAVARRO BRAIN,"93,000"
ALEJANDRO NAVARRO BRAIN,"93,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"63,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"124,500"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"15,000"
ALEJANDRO NAVARRO BRAIN,"48,000"
ALEJANDRO NAVARRO BRAIN,"150,000"
ALEJANDRO NAVARRO BRAIN,"60,000"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"66,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"115,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"45,000"
ALEJANDRO NAVARRO BRAIN,"48,000"
ALEJANDRO NAVARRO BRAIN,"48,000"
ALEJANDRO NAVARRO BRAIN,"30,000"
ALEJANDRO NAVARRO BRAIN,"30,000"
ALEJANDRO NAVARRO BRAIN,"30,000"
ALEJANDRO NAVARRO BRAIN,"60,000"
ALEJANDRO NAVARRO BRAIN,"180,000"
ALEJANDRO NAVARRO BRAIN,"66,000"
ALEJANDRO NAVARRO BRAIN,"10,500"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"60,000"
ALEJANDRO NAVARRO BRAIN,"120,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"96,000"
ALEJANDRO NAVARRO BRAIN,"90,000"
ALEJANDRO NAVARRO BRAIN,"150,000"
ALEJANDRO NAVARRO BRAIN,"125,000"
ALEJANDRO NAVARRO BRAIN,"150,000"
ALEJANDRO NAVARRO BRAIN,"300,000"
ALEJANDRO NAVARRO BRAIN,"300,000"
ALEJANDRO NAVARRO BRAIN,"500,000"
ALEJANDRO NAVARRO BRAIN,"300,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"10,000"
CAROLINA GOIC BOROEVIC,"500,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"10,000"
CAROLINA GOIC BOROEVIC,"10,000"
CAROLINA GOIC BOROEVIC,"10,000"
CAROLINA GOIC BOROEVIC,"10,000"
CAROLINA GOIC BOROEVIC,"40,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"10,000"
CAROLINA GOIC BOROEVIC,"5,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"5,000"
CAROLINA GOIC BOROEVIC,"200,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"408,257,599"
CAROLINA GOIC BOROEVIC,"50,000"
CAROLINA GOIC BOROEVIC,"50,000"
CAROLINA GOIC BOROEVIC,"231,736,006"
CAROLINA GOIC BOROEVIC,"150,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"10,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"250,000"
CAROLINA GOIC BOROEVIC,"500,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"50,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"200,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"200,000"
CAROLINA GOIC BOROEVIC,"1,000,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"1,000,000"
CAROLINA GOIC BOROEVIC,"200,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"200,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"1,000,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"50,000"
CAROLINA GOIC BOROEVIC,"200,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
CAROLINA GOIC BOROEVIC,"100,000"
